Time,x,y,z
928,2903,1762,-3763
927,2940,1762,-3712
926,2977,1762,-3662
925,3014,1762,-3611
924,3052,1761,-3560
923,3089,1761,-3510
922,3126,1761,-3459
921,3163,1761,-3408
920,3200,1761,-3357
919,3237,1760,-3307
918,3274,1760,-3256
917,3311,1760,-3205
916,3348,1760,-3155
915,3385,1760,-3104
914,3422,1760,-3053
913,3459,1759,-3003
912,3496,1759,-2952
911,3533,1759,-2901
910,3570,1759,-2850
909,3607,1759,-2800
908,3645,1758,-2749
907,3682,1758,-2698
906,3719,1758,-2648
905,3756,1758,-2597
904,3793,1758,-2546
903,3830,1758,-2495
902,3867,1757,-2445
901,3904,1757,-2394
900,3941,1757,-2343
899,3978,1757,-2293
898,4015,1757,-2242
897,4052,1757,-2191
896,4089,1756,-2141
895,4126,1756,-2090
894,4163,1756,-2039
893,4200,1756,-1988
893,4200,1756,-1988
892,4199,1755,-1987
891,4197,1754,-1986
890,4195,1753,-1984
889,4193,1752,-1983
888,4191,1751,-1981
887,4189,1750,-1980
886,4187,1749,-1978
885,4185,1748,-1977
884,4183,1747,-1975
883,4181,1746,-1974
882,4179,1745,-1973
881,4177,1744,-1971
880,4176,1743,-1970
879,4174,1742,-1968
878,4172,1741,-1967
877,4170,1740,-1965
876,4168,1739,-1964
875,4166,1738,-1962
874,4164,1737,-1961
873,4162,1736,-1960
872,4160,1735,-1958
871,4158,1734,-1957
870,4156,1733,-1955
869,4155,1732,-1954
868,4153,1731,-1952
867,4151,1730,-1951
866,4149,1729,-1950
865,4147,1728,-1948
864,4145,1727,-1947
863,4143,1726,-1945
862,4141,1725,-1944
861,4139,1724,-1942
860,4137,1723,-1941
859,4135,1722,-1939
858,4134,1721,-1938
857,4132,1720,-1937
856,4130,1719,-1935
855,4128,1718,-1934
854,4126,1717,-1932
853,4124,1716,-1931
852,4122,1715,-1929
851,4120,1714,-1928
850,4118,1713,-1927
849,4116,1712,-1925
848,4114,1711,-1924
847,4112,1710,-1922
846,4111,1709,-1921
845,4109,1708,-1919
844,4107,1707,-1918
843,4105,1706,-1916
842,4103,1705,-1915
841,4101,1704,-1914
840,4099,1703,-1912
839,4097,1702,-1911
838,4095,1701,-1909
837,4093,1700,-1908
836,4091,1699,-1906
835,4090,1698,-1905
834,4088,1697,-1903
833,4086,1696,-1902
832,4084,1695,-1901
831,4082,1694,-1899
830,4080,1693,-1898
829,4078,1692,-1896
828,4076,1691,-1895
827,4074,1690,-1893
826,4072,1689,-1892
825,4070,1688,-1891
824,4068,1687,-1889
823,4067,1686,-1888
822,4065,1685,-1886
821,4063,1684,-1885
820,4061,1683,-1883
819,4059,1682,-1882
818,4057,1681,-1880
817,4055,1680,-1879
816,4053,1679,-1878
815,4051,1678,-1876
814,4049,1677,-1875
813,4047,1676,-1873
812,4046,1675,-1872
811,4044,1674,-1870
810,4042,1673,-1869
809,4040,1672,-1868
808,4038,1671,-1866
807,4036,1671,-1865
806,4034,1670,-1863
805,4032,1669,-1862
804,4030,1668,-1860
803,4028,1667,-1859
802,4026,1666,-1857
801,4024,1665,-1856
800,4023,1664,-1855
799,4021,1663,-1853
798,4019,1662,-1852
797,4017,1661,-1850
796,4015,1660,-1849
795,4013,1659,-1847
794,4011,1658,-1846
793,4009,1657,-1845
792,4007,1656,-1843
791,4005,1655,-1842
790,4003,1654,-1840
789,4002,1653,-1839
788,4000,1652,-1837
787,3998,1651,-1836
786,3996,1650,-1834
785,3994,1649,-1833
784,3992,1648,-1832
783,3990,1647,-1830
782,3988,1646,-1829
781,3986,1645,-1827
780,3984,1644,-1826
779,3982,1643,-1824
778,3981,1642,-1823
777,3979,1641,-1821
776,3977,1640,-1820
775,3975,1639,-1819
774,3973,1638,-1817
773,3971,1637,-1816
772,3969,1636,-1814
771,3967,1635,-1813
770,3965,1634,-1811
769,3963,1633,-1810
768,3961,1632,-1809
767,3959,1631,-1807
766,3958,1630,-1806
765,3956,1629,-1804
764,3954,1628,-1803
763,3952,1627,-1801
762,3950,1626,-1800
761,3948,1625,-1798
760,3946,1624,-1797
759,3944,1623,-1796
758,3942,1622,-1794
757,3940,1621,-1793
756,3938,1620,-1791
755,3937,1619,-1790
754,3935,1618,-1788
753,3933,1617,-1787
752,3931,1616,-1786
